draft	milestone	type	size	title	covers	justification	assigned
ABI-@bench-entry-overhead	V0	benchmark	S	Publish native entry/return cost per mechanism against Linux syscall and io_uring	GAP-0500	Synthesis freeze discipline requires every L1 decision to cite a benchmark report; V0 benchmark gates are publish-only, so the harness runs in CI and publishes numbers without a target.	ABI-001
ABI-@build-abi-definition-generators	V0.5	build	M	Generate the C header, snapshot, docs and fuzz descriptions from the ABI definition	INV-0945	BLD's syzkaller adaptation (GAP-0127/0548, V0.5) and DOC's IDL-to-docs (V1) both need a single machine-readable Layer 1 definition; ABI owns that source of truth.	ABI-023
ABI-@build-computedevice-reservation	V1	build	M	Reserve the ComputeDevice object type and Operation slots in the Layer 1 ABI	INV-0701	§65 rule 8 and INV-0701: the shape must exist before freeze candidates are named so V2 ComputeDevice dispatch (HET) needs no ABI break; depends on HET's V0 enumeration adr.	ABI-032
ABI-@build-conformance-run-1-0	1.0	build	S	Run reference, conformance and compatibility suites on the 1.0 candidate and publish		1.0 exit: ABI reference, conformance suite and compatibility suite pass; compatibility-proof demo of a V4-built native application running unmodified on 1.0.	ABI-052
ABI-@build-conformance-suite-v0	V0.5	build	M	Build the ABI conformance suite with one test per prototyped Layer 1 entry point	INV-0147,GAP-0501	BLD's INV-1282 runs an ABI conformance suite in CI; ABI owns its content. Needed before the first ABI revision so v0-to-v0.1 compatibility is proven, not assumed.	ABI-024
ABI-@build-conformance-suite-v1	V1	build	M	Extend the conformance suite to every entry point plus cross-version binary runs	GAP-0501,INV-0147	V1 SDK compatibility test suite gate needs Layer 1 coverage: binaries built against v0.x run on v1 and vice versa where promised.	ABI-033
ABI-@build-deprecated-use-detector	V2	build	M	Build tooling that detects use of deprecated ABI entry points and interfaces in Packages	GAP-0347	The deprecation process is unenforceable without detection at build and install; runs in SDK build and PKG install paths from V2.	ABI-043
ABI-@build-dual-execution-worlds	V0.5	build	L	Select Native ABI or Linux ABI execution world per Component or process at entry	INV-0142	Phase B dual personality is needed once the Wayland bridge runs Linux GUI apps beside native apps (V0.5 gate); the world tag lives in the entry layer.	ABI-025
ABI-@build-dual-implementation-conformance	V2	build	M	Run the conformance suite against wrapper and native implementations during Phase C	INV-0147	Phase C replaces Linux wrappers with native code under a stable ABI; the suite must pass on both implementations for every migrated primitive.	ABI-044
ABI-@build-entry-layer	V0	build	L	Implement the native ABI entry layer in the Linux-derived kernel	INV-1321	Every V0 primitive test reaches the kernel through this layer; implements the chosen entry mechanism and dispatch; Linux syscall path left untouched for the L0 corpus gate.	ABI-002
ABI-@build-firewall-lint	V0	build	S	Add build and lint rules forbidding native crates from linking Linux personality or libc	INV-0867,INV-0010,INV-0011,INV-1121,INV-1123,INV-0272,INV-1130	Enforces the §3 compatibility firewall and the §57 non-goals (no POSIX, no Linux syscalls, no Wasm as native ABI) as a lint that runs on every native crate from V0.	ABI-003
ABI-@build-freeze-candidate-review	V1	build	M	Review every Layer 1 entry point and mark freeze candidates in the surfaces register	INV-1278,INV-1268	Ladder: L1 freeze candidates at V1 with SDK v1; each candidate must cite its spike, adr and benchmark report per the synthesis freeze discipline.	ABI-034
ABI-@build-l1-compatibility-suite	V4	build	M	Build the golden binary compatibility suite proving RC1 binaries run on every beta build	GAP-0501	V4 exit: a compatibility suite proves binaries built against the freeze candidate run on every subsequent beta build; also the V4 compatibility demo.	ABI-047
ABI-@build-l1-evolution-test	V0.5	build	M	Exercise Layer 1 evolution: add an Operation, keep the v0 binary running, retain the test	INV-1274,INV-0147	Mirrors the V0.5 UI-protocol v0-to-v0.1 exit criterion at Layer 1 so negotiation is proven against a real change before freeze candidates are named at V1.	ABI-026
ABI-@build-negotiation-handshake	V0	build	M	Implement the Layer 1 version handshake and its forward/backward compatibility test	INV-1274,INV-0147	Critique #12: the V0 negotiation test must be a Layer 1 handshake test, not only an IDL message test; the test is retained permanently as the first ABI conformance case.	ABI-004
ABI-@build-object-registry	V0	build	L	Implement the Object<T> typed registry with type identifier checked on every Operation	INV-0049,INV-0158	V0 exit: forged handle and wrong-type operations fail with a typed error; depends on decide-handle-encoding and decide-object-residency.	ABI-005
ABI-@build-remove-deprecated-entry-points	V4	build	M	Remove deprecated Layer 1 entry points before the freeze candidate		V4 scope: 'Layer 1 ABI freeze candidate: final review, removal of deprecated entry points'; follows the V2 deprecation process and detector results.	ABI-048
ABI-@build-review-gate	V0	build	M	Institute the ABI review gate checklist enforcing the §65 rules on every L1 change	INV-0081,INV-0103,INV-0034,INV-0003,INV-1277,INV-1275,INV-0708,INV-0702,INV-0198,INV-1276,INV-1305,INV-1283,INV-1268	Critique: constraints become one review-gate task, not a task per rule; the checklist rejects POSIX/Linux/Windows-justified interfaces, flags x86-64 and page-table assumptions, blocks exposed kernel internals and requires a deprecation and shim plan per L1 change.	ABI-006
